iter	Passed	Remaining
0	141	141248
1	143	71462
2	144	48104
3	146	36419
4	147	29444
5	149	24772
6	151	21436
7	152	18925
8	154	16969
9	155	15412
10	157	14149
11	158	13077
12	160	12172
13	161	11408
14	163	10731
15	164	10140
16	166	9624
17	168	9172
18	169	8753
19	171	8379
20	172	8039
21	173	7730
22	175	7448
23	176	7193
24	178	6956
25	179	6736
26	181	6529
27	182	6343
28	184	6166
29	185	6001
30	187	5847
31	188	5700
32	189	5563
33	191	5434
34	192	5316
35	194	5201
36	195	5093
37	196	4987
38	198	4885
39	199	4786
40	200	4692
41	201	4602
42	202	4514
43	203	4427
44	204	4344
45	205	4266
46	206	4189
47	207	4115
48	208	4044
49	209	3975
50	210	3914
51	211	3853
52	212	3792
53	213	3731
54	213	3672
55	214	3614
56	215	3559
57	215	3504
58	216	3452
59	217	3401
60	217	3352
61	218	3305
62	219	3258
63	219	3211
64	220	3166
65	220	3123
66	221	3080
67	221	3036
68	222	3001
69	223	2965
70	223	2928
71	224	2891
72	224	2856
73	225	2821
74	225	2787
75	226	2754
76	227	2721
77	227	2690
78	228	2659
79	228	2629
80	229	2600
81	229	2572
82	230	2544
83	230	2517
84	231	2492
85	232	2467
86	232	2439
87	233	2415
88	233	2391
89	234	2368
90	234	2345
91	235	2322
92	235	2300
93	236	2279
94	237	2258
95	237	2237
96	238	2217
97	238	2197
98	239	2178
99	239	2159
100	240	2140
101	240	2119
102	241	2101
103	241	2083
104	242	2066
105	242	2049
106	243	2032
107	244	2015
108	244	1999
109	245	1983
110	245	1968
111	246	1952
112	246	1937
113	247	1922
114	247	1908
115	248	1893
116	248	1879
117	249	1865
118	249	1850
119	250	1836
120	251	1823
121	251	1810
122	251	1795
123	252	1783
124	252	1770
125	253	1758
126	254	1746
127	254	1732
128	254	1721
129	255	1709
130	256	1698
131	256	1687
132	257	1676
133	257	1665
134	258	1655
135	258	1644
136	259	1634
137	259	1623
138	260	1613
139	260	1603
140	261	1593
141	262	1583
142	262	1573
143	263	1564
144	263	1555
145	264	1546
146	264	1537
147	265	1528
148	266	1519
149	266	1510
150	267	1502
151	267	1493
152	268	1485
153	268	1476
154	269	1468
155	269	1460
156	270	1452
157	270	1444
158	271	1436
159	272	1428
160	272	1420
161	273	1412
162	273	1405
163	274	1397
164	274	1390
165	275	1383
166	275	1376
167	276	1369
168	276	1361
169	277	1355
170	278	1348
171	278	1341
172	279	1334
173	279	1329
174	280	1323
175	281	1316
176	281	1310
177	282	1303
178	282	1297
179	283	1291
180	283	1283
181	284	1277
182	284	1271
183	285	1265
184	285	1259
185	286	1253
186	287	1247
187	287	1242
188	288	1236
189	288	1230
190	289	1225
191	289	1219
192	290	1214
193	290	1208
194	291	1203
195	292	1198
196	292	1192
197	293	1187
198	293	1182
199	294	1177
200	294	1172
201	295	1166
202	295	1161
203	296	1156
204	296	1151
205	297	1146
206	298	1141
207	298	1137
208	299	1132
209	299	1127
210	300	1122
211	300	1118
212	301	1113
213	301	1109
214	302	1104
215	303	1100
216	303	1095
217	304	1091
218	304	1086
219	305	1082
220	305	1078
221	306	1073
222	306	1069
223	307	1065
224	308	1061
225	308	1057
226	309	1054
227	310	1050
228	310	1046
229	311	1043
230	312	1039
231	312	1035
232	313	1031
233	313	1027
234	314	1023
235	314	1019
236	315	1015
237	316	1011
238	316	1008
239	317	1004
240	317	1000
241	318	996
242	318	993
243	319	989
244	319	985
245	320	982
246	321	978
247	321	975
248	322	971
249	322	968
250	323	964
251	323	961
252	324	957
253	324	954
254	325	951
255	326	947
256	326	944
257	327	941
258	327	937
259	328	934
260	328	931
261	329	928
262	330	924
263	330	921
264	331	918
265	331	915
266	332	912
267	332	908
268	333	905
269	333	902
270	334	899
271	334	896
272	335	893
273	336	890
274	336	887
275	337	884
276	337	881
277	338	878
278	338	875
279	339	872
280	340	870
281	340	867
282	341	864
283	341	861
284	342	858
285	342	855
286	343	852
287	343	850
288	344	847
289	345	844
290	345	842
291	346	839
292	346	836
293	347	833
294	347	831
295	348	828
296	348	825
297	349	823
298	350	820
299	351	819
300	351	816
301	352	814
302	352	811
303	353	809
304	353	806
305	354	804
306	355	801
307	355	799
308	356	796
309	356	794
310	357	791
311	357	789
312	358	787
313	359	784
314	359	782
315	360	779
316	360	777
317	361	775
318	361	772
319	362	770
320	363	768
321	363	765
322	364	763
323	365	761
324	365	759
325	366	757
326	366	754
327	367	752
328	367	750
329	368	747
330	368	745
331	369	743
332	370	741
333	370	738
334	371	736
335	371	734
336	372	732
337	372	730
338	373	727
339	373	725
340	374	723
341	375	721
342	375	719
343	376	717
344	376	715
345	377	713
346	377	710
347	378	708
348	378	706
349	379	704
350	380	702
351	380	701
352	381	698
353	381	696
354	382	694
355	382	692
356	383	690
357	384	688
358	384	686
359	385	684
360	385	682
361	386	680
362	386	678
363	387	676
364	387	674
365	388	672
366	388	670
367	389	668
368	390	666
369	390	665
370	391	663
371	391	661
372	392	659
373	392	657
374	393	655
375	393	653
376	394	651
377	395	650
378	395	648
379	396	646
380	396	644
381	397	643
382	398	641
383	398	639
384	399	637
385	399	636
386	400	634
387	401	632
388	401	631
389	402	629
390	403	627
391	403	626
392	404	624
393	404	622
394	405	620
395	405	619
396	406	617
397	406	615
398	407	613
399	408	612
400	408	610
401	409	608
402	409	607
403	410	605
404	411	603
405	411	602
406	412	600
407	412	598
408	413	597
409	413	595
410	414	593
411	414	592
412	415	590
413	416	589
414	416	587
415	417	585
416	417	584
417	418	582
418	419	581
419	419	579
420	420	577
421	420	576
422	421	574
423	421	573
424	422	571
425	423	569
426	423	568
427	424	566
428	424	565
429	425	563
430	425	562
431	426	560
432	426	558
433	427	557
434	427	555
435	428	554
436	428	552
437	429	551
438	430	549
439	430	547
440	431	546
441	431	544
442	432	543
443	432	541
444	433	540
445	433	538
446	434	537
447	434	535
448	435	534
449	436	532
450	436	531
451	437	530
452	437	528
453	438	527
454	439	526
455	439	524
456	440	523
457	441	521
458	441	520
459	442	519
460	442	517
461	443	516
462	443	514
463	444	513
464	444	511
465	445	510
466	446	509
467	446	507
468	447	506
469	447	504
470	448	503
471	448	502
472	449	500
473	450	499
474	450	498
475	451	496
476	451	495
477	452	493
478	452	492
479	453	491
480	453	489
481	454	488
482	455	487
483	455	485
484	456	484
485	456	483
486	457	481
487	457	480
488	458	479
489	459	477
490	459	476
491	460	475
492	460	473
493	461	472
494	461	471
495	462	469
496	462	468
497	463	467
498	464	465
499	464	464
500	465	463
501	465	462
502	466	460
503	466	459
504	467	458
505	468	456
506	468	455
507	469	454
508	469	453
509	470	451
510	470	450
511	471	449
512	472	448
513	472	446
514	473	445
515	473	444
516	474	443
517	474	441
518	475	440
519	476	439
520	476	438
521	477	436
522	477	435
523	478	434
524	478	433
525	479	432
526	480	430
527	480	429
528	481	428
529	481	427
530	482	425
531	482	424
532	483	423
533	484	422
534	484	421
535	485	419
536	485	418
537	486	417
538	486	416
539	487	415
540	487	413
541	488	412
542	489	411
543	489	410
544	490	409
545	490	408
546	491	406
547	491	405
548	492	404
549	493	403
550	493	402
551	494	401
552	494	400
553	495	398
554	496	397
555	496	396
556	497	395
557	497	394
558	498	393
559	498	391
560	499	390
561	499	389
562	500	388
563	501	387
564	501	386
565	502	385
566	502	383
567	503	382
568	503	381
569	504	380
570	504	379
571	505	378
572	506	377
573	506	376
574	507	374
575	507	373
576	508	372
577	508	371
578	509	370
579	509	369
580	510	368
581	511	367
582	511	365
583	512	364
584	512	363
585	513	362
586	513	361
